iter	Passed	Remaining
672	11785	9228
673	11800	9209
674	11814	9188
675	11827	9168
676	11842	9148
677	11859	9130
678	11875	9112
679	11892	9093
680	11907	9074
681	11923	9055
682	11938	9036
683	11953	9017
684	11969	8998
685	11984	8979
686	11999	8960
687	12020	8945
688	12036	8926
689	12050	8907
690	12065	8887
691	12079	8867
692	12093	8847
693	12108	8828
694	12123	8809
695	12138	8790
696	12154	8771
697	12170	8752
698	12186	8734
699	12203	8716
700	12220	8698
701	12235	8679
702	12251	8661
703	12266	8642
704	12281	8623
705	12296	8603
706	12311	8584
707	12328	8567
708	12345	8549
709	12359	8529
710	12375	8511
711	12391	8493
712	12403	8471
713	12420	8454
714	12435	8434
715	12449	8415
716	12464	8396
717	12480	8378
718	12491	8356
719	12507	8338
720	12521	8318
721	12536	8300
722	12551	8281
723	12566	8262
724	12582	8243
725	12596	8224
726	12612	8205
727	12626	8186
728	12640	8166
729	12654	8147
730	12669	8128
731	12684	8109
732	12700	8091
733	12715	8072
734	12729	8053
735	12745	8035
736	12760	8016
737	12773	7996
738	12787	7977
739	12802	7958
740	12817	7939
741	12831	7920
742	12847	7902
743	12862	7883
744	12875	7863
745	12891	7845
746	12905	7826
747	12919	7806
748	12934	7788
749	12949	7769
750	12963	7750
751	12978	7732
752	12994	7713
753	13009	7695
754	13026	7677
755	13040	7658
756	13054	7639
757	13070	7621
758	13085	7603
759	13100	7584
760	13115	7565
761	13129	7547
762	13144	7528
763	13159	7509
764	13173	7491
765	13188	7472
766	13201	7452
767	13216	7434
768	13231	7415
769	13247	7397
770	13262	7379
771	13277	7361
772	13292	7342
773	13307	7324
774	13322	7305
775	13337	7287
776	13351	7268
777	13366	7250
778	13382	7232
779	13397	7213
780	13412	7195
781	13429	7178
782	13444	7160
783	13460	7142
784	13476	7124
785	13492	7106
786	13507	7088
787	13523	7070
788	13538	7052
789	13553	7034
790	13569	7016
791	13586	6998
792	13602	6981
793	13617	6963
794	13633	6945
795	13649	6927
796	13665	6909
797	13691	6897
798	13718	6884
799	13733	6866
800	13751	6849
801	13767	6832
802	13784	6814
803	13802	6798
804	13818	6780
805	13836	6763
806	13855	6747
807	13875	6731
808	13892	6714
809	13906	6695
810	13921	6677
811	13937	6659
812	13952	6641
813	13967	6623
814	13982	6605
815	13997	6587
816	14012	6568
817	14027	6550
818	14041	6532
819	14056	6514
820	14071	6495
821	14086	6477
822	14103	6460
823	14119	6442
824	14135	6425
825	14151	6407
826	14167	6390
827	14183	6372
828	14198	6354
829	14214	6336
830	14228	6318
831	14243	6300
832	14259	6282
833	14274	6264
834	14290	6246
835	14306	6229
836	14320	6210
837	14335	6192
838	14349	6174
839	14365	6156
840	14380	6138
841	14391	6118
842	14406	6100
843	14421	6082
844	14437	6065
845	14452	6047
846	14468	6029
847	14483	6011
848	14494	5992
849	14511	5975
850	14527	5957
851	14542	5939
852	14559	5922
853	14575	5905
854	14590	5887
855	14605	5869
856	14620	5851
857	14635	5833
858	14651	5816
859	14665	5798
860	14680	5780
861	14695	5762
862	14709	5744
863	14724	5726
864	14740	5708
865	14755	5690
866	14772	5673
867	14786	5655
868	14801	5638
869	14816	5620
870	14831	5602
871	14846	5584
872	14861	5566
873	14875	5548
874	14889	5530
875	14906	5513
876	14920	5495
877	14931	5476
878	14949	5459
879	14966	5442
880	14980	5424
881	14995	5406
882	15012	5389
883	15027	5371
884	15042	5354
885	15057	5336
886	15071	5318
887	15087	5300
888	15102	5283
889	15117	5265
890	15132	5248
891	15147	5230
892	15163	5212
893	15178	5195
894	15193	5177
895	15208	5159
896	15222	5142
897	15236	5123
898	15250	5106
899	15266	5088
900	15284	5072
901	15298	5054
902	15313	5036
903	15328	5019
904	15344	5001
905	15359	4984
906	15375	4966
907	15389	4949
908	15402	4930
909	15418	4913
910	15435	4896
911	15452	4879
912	15466	4861
913	15482	4844
914	15497	4827
915	15512	4809
916	15527	4792
917	15543	4774
918	15558	4757
919	15573	4739
920	15589	4722
921	15605	4705
922	15621	4688
923	15636	4670
924	15651	4653
925	15665	4635
926	15680	4618
927	15697	4601
928	15709	4582
929	15728	4566
930	15744	4549
931	15755	4530
932	15773	4513
933	15788	4496
934	15804	4479
935	15819	4462
936	15836	4445
937	15850	4427
938	15865	4409
939	15879	4392
940	15894	4374
941	15907	4356
942	15922	4339
943	15937	4322
944	15953	4304
945	15968	4287
946	15982	4269
947	15997	4252
948	16012	4235
949	16027	4217
950	16042	4200
951	16056	4182
952	16070	4165
953	16085	4147
954	16100	4130
955	16114	4112
956	16129	4095
957	16146	4078
958	16161	4061
959	16177	4044
960	16194	4027
961	16215	4011
962	16234	3995
963	16250	3978
964	16266	3961
965	16282	3944
966	16298	3927
967	16313	3909
968	16341	3895
969	16357	3878
970	16373	3861
971	16390	3844
972	16406	3827
973	16420	3810
974	16437	3793
975	16449	3775
976	16462	3757
977	16475	3739
978	16487	3721
979	16500	3704
980	16511	3686
981	16525	3668
982	16540	3651
983	16553	3633
984	16566	3616
985	16581	3598
986	16593	3580
987	16605	3563
988	16618	3545
989	16632	3528
990	16645	3510
991	16657	3492
992	16670	3475
993	16682	3457
994	16693	3439
995	16706	3421
996	16718	3404
997	16730	3386
998	16742	3368
999	16754	3350
1000	16766	3333
1001	16780	3315
1002	16791	3297
1003	16803	3280
1004	16819	3263
1005	16830	3245
1006	16841	3227
1007	16853	3210
1008	16864	3192
1009	16876	3174
1010	16889	3157
1011	16901	3139
1012	16912	3122
1013	16924	3104
1014	16938	3087
1015	16953	3070
1016	16967	3053
1017	16981	3035
1018	16995	3018
1019	17009	3001
1020	17023	2984
1021	17037	2967
1022	17050	2950
1023	17064	2932
1024	17078	2915
1025	17094	2899
1026	17108	2881
1027	17121	2864
1028	17138	2848
1029	17151	2830
1030	17166	2813
1031	17181	2796
1032	17196	2780
1033	17209	2762
1034	17226	2746
1035	17241	2729
1036	17255	2712
1037	17270	2695
1038	17285	2678
1039	17300	2661
1040	17331	2647
1041	17353	2631
1042	17380	2616
1043	17409	2601
1044	17437	2586
1045	17458	2570
1046	17489	2555
1047	17506	2539
1048	17519	2521
1049	17534	2504
1050	17548	2487
1051	17562	2470
1052	17577	2453
1053	17592	2436
1054	17606	2419
1055	17620	2402
1056	17635	2385
1057	17650	2368
1058	17666	2352
1059	17682	2335
1060	17697	2318
1061	17712	2301
1062	17727	2284
1063	17743	2268
1064	17759	2251
1065	17774	2234
1066	17789	2217
1067	17803	2200
1068	17818	2183
1069	17832	2166
1070	17846	2149
1071	17860	2132
1072	17875	2115
1073	17890	2098
1074	17906	2082
1075	17922	2065
1076	17937	2048
1077	17950	2031
1078	17968	2015
1079	17985	1998
1080	18001	1981
1081	18020	1965
1082	18039	1948
1083	18054	1932
1084	18071	1915
1085	18086	1898
1086	18101	1881
1087	18117	1865
1088	18134	1848
1089	18150	1831
1090	18167	1815
1091	18183	1798
1092	18199	1781
1093	18213	1764
1094	18226	1747
1095	18240	1730
1096	18257	1714
1097	18271	1697
1098	18285	1680
1099	18299	1663
1100	18315	1646
1101	18329	1630
1102	18343	1613
1103	18355	1596
1104	18371	1579
1105	18387	1562
1106	18404	1546
1107	18422	1529
1108	18438	1512
1109	18453	1496
1110	18468	1479
1111	18484	1462
1112	18499	1446
1113	18514	1429
1114	18529	1412
1115	18544	1395
1116	18559	1379
1117	18575	1362
1118	18590	1345
1119	18606	1329
1120	18619	1312
1121	18634	1295
1122	18649	1278
1123	18664	1261
1124	18679	1245
1125	18695	1228
1126	18710	1211
1127	18725	1195
1128	18742	1178
1129	18758	1162
1130	18774	1145
1131	18790	1128
1132	18804	1112
1133	18820	1095
1134	18835	1078
1135	18848	1061
1136	18864	1045
1137	18878	1028
1138	18895	1011
1139	18909	995
1140	18924	978
1141	18940	961
1142	18957	945
1143	18974	928
1144	18991	912
1145	19009	895
1146	19027	879
1147	19051	862
1148	19077	846
1149	19111	830
1150	19151	815
1151	19187	799
1152	19222	783
1153	19259	767
1154	19285	751
1155	19307	734
1156	19329	718
1157	19349	701
1158	19369	685
1159	19400	668
1160	19420	652
1161	19438	635
1162	19455	618
1163	19473	602
1164	19489	585
1165	19507	568
1166	19525	552
1167	19544	535
1168	19562	518
1169	19580	502
1170	19598	485
1171	19617	468
1172	19635	451
1173	19653	435
1174	19671	418
1175	19692	401
1176	19713	385
1177	19730	368
1178	19748	351
1179	19765	335
1180	19782	318
1181	19801	301
1182	19820	284
1183	19839	268
1184	19857	251
1185	19877	234
1186	19900	217
1187	19923	201
1188	19944	184
1189	19964	167
1190	19982	151
1191	20001	134
1192	20018	117
1193	20036	100
1194	20054	83
1195	20072	67
1196	20090	50
1197	20109	33
1198	20127	16
1199	20145	0
